Image Number,ROI,Total Flux [p/s],Avg Radiance [p/s/cm²/sr],Stdev Radiance,Min Radiance,Max Radiance,ROI Label,Experiment
MFM20231016090235_001A,ROI 1,1.26E+06,2.28E+03,1.92E+03,-3.16E+03,1.23E+04,1,2024-02-16
MFM20231016090739_001A,ROI 2,1.59E+06,2.72E+03,2.20E+03,-3.25E+03,1.57E+04,2,2024-02-16
MFM20231016090235_001A,ROI 3,1.14E+06,1.99E+03,1.73E+03,-2.99E+03,2.54E+04,3,2024-02-16
MFM20231016090235_001A,ROI 4,1.56E+06,2.58E+03,2.47E+03,-2.47E+03,1.66E+04,4,2024-02-16
MFM20231016090235_001A,ROI 5,1.10E+06,1.92E+03,1.60E+03,-2.81E+03,8.86E+03,5,2024-02-16
MFM20231016090739_001A,ROI 1,1.25E+06,2.09E+03,1.67E+03,-2.49E+03,1.91E+04,6,2024-02-16
MFM20231016091306_001A,ROI 2,2.31E+06,4.05E+03,3.30E+03,-4.63E+03,2.28E+04,7,2024-02-16
MFM20231016091711_001A,ROI 3,1.37E+06,2.40E+03,2.13E+03,-2.96E+03,1.80E+04,8,2024-02-16
MFM20231016090235_001A,ROI 4,1.08E+06,1.94E+03,1.77E+03,-2.52E+03,3.74E+04,9,2024-02-16
MFM20231016090739_001A,ROI 5,1.35E+06,2.33E+03,2.12E+03,-2.61E+03,1.47E+04,10,2024-02-16
MFM20231016091306_001A,ROI 1,1.46E+06,2.68E+03,2.27E+03,-2.42E+03,2.47E+04,11,2024-02-16
MFM20231016091306_001A,ROI 2,1.37E+06,2.43E+03,2.18E+03,-2.14E+03,1.38E+04,12,2024-02-16
MFM20231016091306_001A,ROI 3,1.59E+06,2.64E+03,2.47E+03,-2.72E+03,1.46E+04,13,2024-02-16
MFM20231016091711_001A,ROI 4,1.73E+06,2.85E+03,2.63E+03,-2.42E+03,1.75E+04,14,2024-02-16
MFM20231016091306_001A,ROI 5,9.70E+05,1.66E+03,1.45E+03,-2.67E+03,7.25E+03,15,2024-02-16
MFM20231016091306_001A,ROI 1,2.10E+06,3.77E+03,3.32E+03,-3.35E+03,2.62E+04,16,2024-02-16
MFM20231016090739_001A,ROI 2,1.78E+06,3.38E+03,3.06E+03,-2.29E+03,2.29E+04,17,2024-02-16
MFM20231016091306_001A,ROI 3,2.80E+06,5.24E+03,4.05E+03,-3.54E+03,2.68E+04,18,2024-02-16
MFM20231016091306_001A,ROI 4,5.14E+06,9.33E+03,7.99E+03,-8.94E+03,5.64E+04,19,2024-02-16
MFM20231016091306_001A,ROI 5,2.22E+06,3.86E+03,3.16E+03,-4.83E+03,2.19E+04,20,2024-02-16
MFM20231016091711_001A,ROI 1,2.26E+06,3.99E+03,3.61E+03,-2.18E+03,2.63E+04,21,2024-02-16
MFM20231016091711_001A,ROI 2,1.67E+06,3.24E+03,2.24E+03,-2.45E+03,1.36E+04,22,2024-02-16
MFM20231016091711_001A,ROI 3,2.20E+06,3.69E+03,2.93E+03,-3.23E+03,2.26E+04,23,2024-02-16
MFM20231016091306_001A,ROI 4,1.09E+06,1.87E+03,1.58E+03,-2.45E+03,9.25E+03,24,2024-02-16
MFM20231016090739_001A,ROI 5,1.43E+06,2.65E+03,2.20E+03,-2.75E+03,1.41E+04,25,2024-02-16
