Image Number,ROI,Image Layer,Total Flux [p/s],Avg Radiance [p/s/cm²/sr],Stdev Radiance,Min Radiance,Max Radiance,ROI Label,Experiment
MFM20231114081241_001A,ROI 1,Overlay,1.36E+07,2.21E+04,3.60E+04,-2.00E+03,3.22E+05,1,2024-03-01
MFM20231114081241_001A,ROI 3,Overlay,1.26E+07,2.42E+04,3.40E+04,-1.66E+03,2.40E+05,3,2024-03-01
MFM20231114081241_001A,ROI 4,Overlay,1.14E+07,1.89E+04,2.70E+04,-1.53E+03,2.24E+05,4,2024-03-01
MFM20231114081241_001A,ROI 5,Overlay,1.68E+07,3.56E+04,4.65E+04,-2.24E+03,3.05E+05,5,2024-03-01
MFM20231114082026_001A,ROI 2,Overlay,9.73E+05,1.61E+03,1.73E+03,-2.57E+03,1.44E+04,2,2024-03-01
MFM20231114082334_001A,ROI 1,Overlay,7.69E+06,1.50E+04,1.73E+04,-2.48E+03,1.46E+05,6,2024-03-01
MFM20231114082334_001A,ROI 2,Overlay,1.60E+07,2.79E+04,3.82E+04,-2.50E+03,3.18E+05,7,2024-03-01
MFM20231114082334_001A,ROI 3,Overlay,1.35E+07,2.55E+04,3.56E+04,-1.96E+03,3.60E+05,8,2024-03-01
MFM20231114082334_001A,ROI 4,Overlay,8.59E+06,1.59E+04,2.02E+04,-2.51E+03,1.62E+05,9,2024-03-01
MFM20231114082334_001A,ROI 5,Overlay,1.10E+06,2.21E+03,1.76E+03,-2.69E+03,1.12E+04,10,2024-03-01
MFM20231114082927_001A,ROI 1,Overlay,2.68E+07,5.73E+04,8.28E+04,-1.18E+03,6.74E+05,11,2024-03-01
MFM20231114082927_001A,ROI 2,Overlay,1.15E+07,2.19E+04,3.34E+04,-1.76E+03,4.52E+05,12,2024-03-01
MFM20231114082927_001A,ROI 3,Overlay,8.23E+06,1.59E+04,2.35E+04,-1.99E+03,2.96E+05,13,2024-03-01
MFM20231114082927_001A,ROI 4,Overlay,7.83E+06,1.88E+04,3.24E+04,-2.22E+03,3.11E+05,14,2024-03-01
MFM20231114082927_001A,ROI 5,Overlay,1.25E+07,2.27E+04,3.52E+04,-2.04E+03,4.95E+05,15,2024-03-01
MFM20231114083527_001A,ROI 1,Overlay,5.10E+06,8.83E+03,1.27E+04,-2.64E+03,1.08E+05,16,2024-03-01
MFM20231114083527_001A,ROI 2,Overlay,1.16E+07,2.04E+04,3.01E+04,-2.31E+03,2.61E+05,17,2024-03-01
MFM20231114083527_001A,ROI 3,Overlay,1.65E+07,3.01E+04,4.33E+04,-1.90E+03,2.98E+05,18,2024-03-01
MFM20231114083527_001A,ROI 4,Overlay,4.75E+06,9.75E+03,1.01E+04,-2.92E+03,1.06E+05,19,2024-03-01
MFM20231114083527_001A,ROI 5,Overlay,9.45E+06,1.91E+04,2.55E+04,-3.14E+03,1.86E+05,20,2024-03-01
MFM20231114084136_001A,ROI 1,Overlay,9.28E+06,1.71E+04,2.69E+04,-1.89E+03,2.57E+05,21,2024-03-01
MFM20231114084136_001A,ROI 2,Overlay,1.10E+07,2.06E+04,2.68E+04,-1.79E+03,1.97E+05,22,2024-03-01
MFM20231114084136_001A,ROI 3,Overlay,7.31E+06,1.39E+04,2.13E+04,-1.77E+03,2.44E+05,23,2024-03-01
MFM20231114084136_001A,ROI 4,Overlay,1.30E+07,2.61E+04,3.56E+04,-1.83E+03,2.53E+05,24,2024-03-01
MFM20231114084136_001A,ROI 5,Overlay,1.41E+07,2.79E+04,4.86E+04,-2.21E+03,7.16E+05,25,2024-03-01
