Image Number,ROI,Total Flux [p/s],Avg Radiance [p/s/cm²/sr],Stdev Radiance,Min Radiance,Max Radiance,ROI Label,Experiment
MFM20231121081822_001A,ROI 1,2.31E+08,4.46E+05,6.41E+05,-8.02E+03,4.17E+06,1,2024-03-08
MFM20231121081822_001A,ROI 2,5.33E+06,1.24E+04,8.55E+03,-7.11E+03,7.24E+04,2,2024-03-08
MFM20231121081822_001A,ROI 3,1.09E+08,2.30E+05,3.41E+05,-7.96E+03,2.50E+06,3,2024-03-08
MFM20231121081822_001A,ROI 4,1.30E+08,2.21E+05,3.71E+05,-1.09E+04,3.52E+06,4,2024-03-08
MFM20231121081822_001A,ROI 5,2.00E+08,3.85E+05,5.73E+05,-1.07E+04,3.94E+06,5,2024-03-08
MFM20231121082450_001A,ROI 2,2.07E+08,4.56E+05,6.09E+05,-1.75E+04,5.17E+06,7,2024-03-08
MFM20231121082450_001A,ROI 3,1.98E+08,3.71E+05,5.09E+05,-1.80E+04,3.91E+06,8,2024-03-08
MFM20231121082450_001A,ROI 4,1.66E+08,3.11E+05,4.37E+05,-1.19E+04,2.97E+06,9,2024-03-08
MFM20231121082450_001A,ROI 5,9.42E+07,1.70E+05,3.23E+05,-1.65E+04,5.44E+06,10,2024-03-08
MFM20231121082648_001A,ROI 1,1.09E+07,1.92E+04,2.58E+04,-2.26E+03,2.78E+05,6,2024-03-08
MFM20231121083022_001A,ROI 1,3.13E+08,6.85E+05,9.13E+05,-1.59E+04,7.61E+06,11,2024-03-08
MFM20231121083022_001A,ROI 3,2.09E+08,3.78E+05,6.50E+05,-2.24E+04,6.13E+06,13,2024-03-08
MFM20231121083022_001A,ROI 5,1.72E+08,3.05E+05,4.85E+05,-1.78E+04,5.82E+06,15,2024-03-08
MFM20231121083213_001A,ROI 2,2.27E+07,4.47E+04,1.40E+05,-1.06E+04,3.08E+06,12,2024-03-08
MFM20231121083213_001A,ROI 4,3.86E+07,7.37E+04,2.45E+05,-9.29E+03,3.37E+06,14,2024-03-08
MFM20231121083803_001A,ROI 1,4.53E+07,1.02E+05,1.40E+05,-6.86E+03,1.08E+06,16,2024-03-08
MFM20231121083803_001A,ROI 2,1.60E+08,3.54E+05,4.58E+05,-5.20E+03,3.22E+06,17,2024-03-08
MFM20231121083803_001A,ROI 3,1.83E+08,3.58E+05,5.14E+05,-7.06E+03,4.51E+06,18,2024-03-08
MFM20231121083803_001A,ROI 4,4.57E+07,9.29E+04,1.26E+05,-8.85E+03,1.47E+06,19,2024-03-08
MFM20231121083803_001A,ROI 5,1.29E+08,2.21E+05,3.40E+05,-1.06E+04,3.06E+06,20,2024-03-08
MFM20231121084255_001A,ROI 1,9.30E+07,1.83E+05,2.84E+05,-1.76E+04,3.07E+06,21,2024-03-08
MFM20231121084255_001A,ROI 2,1.05E+08,2.06E+05,2.80E+05,-1.83E+04,1.86E+06,22,2024-03-08
MFM20231121084255_001A,ROI 3,1.08E+08,2.19E+05,4.03E+05,-2.72E+04,4.51E+06,23,2024-03-08
MFM20231121084255_001A,ROI 4,1.65E+08,2.92E+05,4.36E+05,-2.16E+04,2.79E+06,24,2024-03-08
MFM20231121084255_001A,ROI 5,1.73E+08,3.27E+05,6.01E+05,-1.53E+04,7.98E+06,25,2024-03-08
